time	V(vout)	V(vpre)
1.512307446428540e-005	5.287013e-004	1.800000e+000
1.547184678571397e-005	5.938217e-004	1.800000e+000
1.582061910714254e-005	6.576824e-004	1.800000e+000
1.616939142857111e-005	7.202834e-004	1.800000e+000
1.651816374999967e-005	7.816246e-004	1.800000e+000
1.739706999999967e-005	9.184217e-004	1.800000e+000
1.827597624999966e-005	1.037849e-003	1.800000e+000
1.915488249999966e-005	1.139906e-003	1.800000e+000
2.003378874999965e-005	1.224593e-003	1.800000e+000
2.091269499999965e-005	1.291910e-003	1.800000e+000
2.179160124999965e-005	1.341857e-003	1.800000e+000
2.267050749999964e-005	1.374434e-003	1.800000e+000
2.356336464285677e-005	1.395507e-003	1.800000e+000
2.445622178571391e-005	1.409273e-003	1.800000e+000
2.534907892857105e-005	1.415731e-003	1.800000e+000
2.624193607142819e-005	1.414881e-003	1.800000e+000
2.713479321428533e-005	1.406724e-003	1.800000e+000
2.802765035714246e-005	1.391259e-003	1.800000e+000
2.892050749999960e-005	1.368487e-003	1.800000e+000
3.010633339285677e-005	1.333817e-003	1.800000e+000
3.129215928571394e-005	1.296781e-003	1.800000e+000
3.247798517857111e-005	1.257380e-003	1.800000e+000
3.366381107142827e-005	1.215614e-003	1.800000e+000
3.484963696428545e-005	1.171481e-003	1.800000e+000
3.603546285714262e-005	1.124983e-003	1.800000e+000
3.722128874999978e-005	1.076120e-003	1.800000e+000
3.910465928571413e-005	1.001209e-003	1.800000e+000
4.098802982142846e-005	9.296714e-004	1.800000e+000
4.287140035714281e-005	8.615075e-004	1.800000e+000
4.475477089285714e-005	7.967173e-004	1.800000e+000
4.663814142857149e-005	7.353006e-004	1.800000e+000
4.852151196428582e-005	6.772575e-004	1.800000e+000
5.040488250000016e-005	6.225880e-004	1.800000e+000
5.256727089285737e-005	5.658753e-004	1.800000e+000
5.472965928571457e-005	5.130872e-004	1.800000e+000
5.689204767857178e-005	4.642236e-004	1.800000e+000
5.905443607142898e-005	4.192846e-004	1.800000e+000
6.121682446428618e-005	3.782702e-004	1.800000e+000
6.337921285714339e-005	3.411805e-004	1.800000e+000
6.554160125000059e-005	3.080152e-004	1.800000e+000
6.563925750000060e-005	3.065556e-004	1.800000e+000
6.689483785714349e-005	2.884195e-004	1.800000e+000
6.815041821428638e-005	2.711121e-004	1.800000e+000
6.940599857142927e-005	2.546336e-004	1.800000e+000
7.066157892857218e-005	2.389838e-004	1.800000e+000
